date,closedPnL_sum,closedPnL_mean,closedPnL_count,trade_value_sum,trade_value_mean,size_tokens_sum,is_profitable_mean,account_nunique,Classification,value,sentiment_score
2024-07-24,625.561479,6.9506831,90,69207.92880726614,768.9769867474016,109521.54280475,0.2,5,Greed,69.0,1.0
2024-07-25,916.7382600000001,11.753054615384617,78,528555.3094460242,6776.350121102875,398195.65057999996,0.1282051282051282,3,Greed,68.0,1.0
2024-07-26,2766.513113,18.200744164473683,152,548587.650090869,3609.129276913612,269229.167597,0.40131578947368424,4,Greed,68.0,1.0
2024-07-27,6400.623656,112.2916430877193,57,905199.782580988,15880.697940017333,2091.77823,0.7368421052631579,2,Greed,72.0,1.0
2024-07-28,587.29903,36.706189375,16,43254.660500000005,2703.4162812500003,4913.6029,0.75,2,Greed,71.0,1.0
2024-07-29,330.80445399999996,8.482165487179486,39,327199.14641000004,8389.721702820514,5057.07922,0.41025641025641024,2,Greed,74.0,1.0
2024-07-30,0.0,0.0,6,36006.47697,6001.079495000001,10.9261,0.0,1,Greed,67.0,1.0
2024-07-31,765.690884,17.806764744186047,43,84506.534086,1965.2682345581395,44585.1777,0.32558139534883723,2,Greed,61.0,1.0
2024-08-01,167.080017,2.9312283684210527,57,227774.51260871076,3996.044080854575,292827.2818435,0.07017543859649122,4,Neutral,52.0,
2024-08-02,782.3681909999999,12.418542714285714,63,396320.3565008986,6290.799309538073,68333.3740408,0.2698412698412698,3,Greed,57.0,1.0
2024-08-03,464.1897,12.545667567567568,37,290532.88809492247,7852.240218781689,71917.87894000001,0.02702702702702703,5,Fear,37.0,0.0
2024-08-04,-122672.000883,-965.9212667952756,127,1207744.076719446,9509.795879680678,227049.7193107,0.023622047244094488,5,Fear,34.0,0.0
2024-08-05,-13013.665169,-162.6708146125,80,420495.37342,5256.19216775,422142.75432,0.4125,4,Fear,26.0,0.0
2024-08-06,267.318048,2.4982995140186914,107,61478.393769969996,574.564427756729,305641.96643,0.12149532710280374,2,Fear,17.0,0.0
2024-08-07,188.789255,5.720886515151515,33,2492.769600670129,75.53847274757966,29210.93451012,0.30303030303030304,3,Fear,29.0,0.0
2024-08-08,-40.712216999999995,-4.5235796666666666,9,16299.355026344874,1811.0394473716526,14545.8545382,0.0,2,Fear,20.0,0.0
2024-08-09,18082.071276,125.56993941666666,144,503204.82161845063,3494.477927905907,84372.3108,0.2986111111111111,5,Neutral,48.0,
2024-08-10,0.0,0.0,88,11339.27659695112,128.85541587444456,155667.97957,0.0,2,Fear,40.0,0.0
2024-08-11,847.7766200000001,35.32402583333334,24,44230.218423,1842.925767625,95524.24650000001,0.16666666666666666,2,Fear,39.0,0.0
2024-08-12,858.6705000000001,17.88896875,48,54167.3325293208,1128.48609436085,59463.483204000004,0.125,3,Fear,25.0,0.0
2024-08-13,212.08102,9.220913913043479,23,20797.882690046135,904.2557691324407,147711.88290362002,0.34782608695652173,3,Fear,31.0,0.0
2024-08-14,2168.9015130000003,86.75606052,25,66710.01885611855,2668.400754244742,73630.204824,0.2,3,Fear,30.0,0.0
2024-08-15,0.0,0.0,12,1522.367833,126.86398608333333,47151.0,0.0,1,Fear,29.0,0.0
2024-08-16,825.230544,23.578015542857145,35,166382.806193,4753.7944626571425,68634.52886,0.08571428571428572,2,Fear,27.0,0.0
2024-08-17,-288.283113,-9.609437100000001,30,30248.943302,1008.2981100666667,178685.85,0.0,2,Fear,25.0,0.0
2024-08-18,307.201888,20.480125866666665,15,62804.47477449648,4186.964984966432,23.72880553,0.8,2,Fear,31.0,0.0
2024-08-19,339.69958299999996,42.462447874999995,8,100315.03385,12539.37923125,1.71498,0.625,1,Fear,28.0,0.0
2024-08-20,192.602844,16.050237,12,49914.79692,4159.56641,8076.92,0.08333333333333333,2,Fear,30.0,0.0
2024-08-21,656.200925,4.525523620689655,145,104990.427218,724.0719118482758,44587.9221,0.3724137931034483,2,Fear,26.0,0.0
2024-08-23,1005.30527,100.53052699999999,10,63509.55795,6350.955795,23.667,0.3,1,Fear,34.0,0.0
2024-08-24,0.0,0.0,7,34999.670079999996,4999.952868571428,5.73838,0.0,2,Greed,56.0,1.0
2024-08-25,0.0,0.0,17,21950.275498,1291.1926763529411,55163.47627,0.0,2,Neutral,54.0,
2024-08-26,231.236918,38.539486333333336,6,92611.27523,15435.212538333333,140.9642,0.3333333333333333,2,Greed,55.0,1.0
2024-08-27,0.0,0.0,50,70250.16057617421,1405.0032115234842,87488.24118,0.0,2,Neutral,48.0,
2024-08-28,1333.359645,148.15107166666667,9,71160.08737,7906.676374444443,19.876250000000002,0.2222222222222222,2,Fear,30.0,0.0
2024-08-29,0.0,0.0,1,9995.8488,9995.8488,0.1644,0.0,1,Fear,29.0,0.0
2024-08-30,256.464,42.744,6,37233.242888535875,6205.540481422646,5449.0260444,0.16666666666666666,4,Fear,34.0,0.0
2024-08-31,10.882801,0.3200823823529412,34,107507.43109782883,3161.983267583201,23355.38432,0.35294117647058826,3,Fear,29.0,0.0
2024-09-01,137.433093,11.452757750000002,12,12359.663834683,1029.9719862235834,5846.961139999999,0.4166666666666667,1,Fear,26.0,0.0
2024-09-02,0.0,0.0,2,30000.424769999998,15000.212384999999,12.3657,0.0,1,Fear,26.0,0.0
2024-09-04,1065.785132,31.346621529411763,34,131480.94938499999,3867.0867466176464,52210.38311,0.14705882352941177,2,Fear,27.0,0.0
2024-09-05,0.0,0.0,1,0.8427951946369999,0.8427951946369999,10818.93703,0.0,1,Fear,29.0,0.0
2024-09-06,-1104.856765,-26.306113452380952,42,39047.114830000006,929.6932102380954,1449.6331,0.0,2,Fear,22.0,0.0
2024-09-08,0.0,0.0,1,0.10981749839999999,0.10981749839999999,0.93414,0.0,1,Fear,29.0,0.0
2024-09-09,0.0,0.0,2,4014.42,2007.21,349080.0,0.0,1,Fear,26.0,0.0
2024-09-10,-219.729659,-73.24321966666666,3,2547.28609,849.0953633333334,66673.7621,0.0,2,Fear,33.0,0.0
2024-09-11,0.0,0.0,1,0.5380624473,0.5380624473,35870.82982,0.0,1,Fear,37.0,0.0
2024-09-14,0.0,0.0,11,1014.8075296319199,92.25522996653818,88358.33644,0.0,2,Neutral,50.0,
2024-09-18,-878.684794,-6.059895131034483,145,13633.51601,94.02424834482758,81796.0,0.0,1,Neutral,45.0,
2024-09-19,0.0,0.0,19,1521.854026,80.09758031578947,81738.0,0.0,1,Neutral,49.0,
2024-09-20,9585.03428,599.0646425,16,332873.40741,20804.587963125,7603.34105,0.5,2,Neutral,54.0,
2024-09-21,36165.56933,1572.416057826087,23,165648.14804,7202.0933930434785,38533.5,1.0,1,Neutral,54.0,
2024-09-22,0.0,0.0,3,19999.737970000002,6666.579323333334,0.31897,0.0,1,Neutral,52.0,
2024-09-23,334.760796,167.380398,2,40334.29548,20167.14774,0.6335,0.5,1,Neutral,50.0,
2024-09-24,0.0,0.0,10,7118.647723,711.8647723,36943.229999999996,0.0,2,Neutral,54.0,
2024-09-25,0.0,0.0,9,52754.136719999995,5861.570746666666,670.29859,0.0,2,Greed,59.0,1.0
2024-09-26,439.812513,54.976564125,8,113711.927413,14213.990926625,8342.780780000001,0.25,2,Neutral,50.0,
2024-09-27,0.0,0.0,56,126097.029356,2251.7326670714288,6413.993329999999,0.0,2,Greed,61.0,1.0
2024-09-28,0.0,0.0,4,29199.208700000003,7299.802175000001,7119.320000000001,0.0,1,Greed,64.0,1.0
2024-09-30,2710.626288,25.571946113207545,106,214670.00032,2025.1886822641509,9188.664999999999,0.04716981132075472,2,Greed,61.0,1.0
2024-10-01,0.0,0.0,4,139954.32129,34988.5803225,2.25636,0.0,1,Neutral,50.0,
2024-10-02,0.0,0.0,4,99954.34189,24988.5854725,1.64099,0.0,1,Fear,42.0,0.0
2024-10-03,100.375782,11.152864666666666,9,132935.701832,14770.633536888889,3777.99039,0.3333333333333333,2,Fear,37.0,0.0
2024-10-04,0.0,0.0,1,0.33810461189999996,0.33810461189999996,307.367829,0.0,1,Fear,41.0,0.0
2024-10-05,5767.161892,155.86924032432432,37,605605.7145409533,16367.722014620358,2278.873416,0.6486486486486487,2,Neutral,49.0,
2024-10-06,130.487079,5.9312308636363635,22,300130.58184,13642.299174545455,4.8180499999999995,0.22727272727272727,1,Neutral,50.0,
2024-10-07,0.0,0.0,21,219984.64516000001,10475.459293333333,3.4539,0.0,1,Neutral,50.0,
2024-10-08,5396.546638,149.90407327777777,36,434584.1281958693,12071.781338774148,414.530151,0.9166666666666666,2,Neutral,49.0,
2024-10-09,396.06272,28.290194285714286,14,220399.92491,15742.851779285715,3.5594,0.21428571428571427,1,Neutral,49.0,
2024-10-10,0.0,0.0,16,300024.33151,18751.520719375,5.04899,0.0,1,Fear,39.0,0.0
2024-10-11,8885.327477,341.74336450000004,26,488904.16735649866,18804.00643678841,4520.60588,0.6923076923076923,2,Fear,32.0,0.0
2024-10-12,541.55471,54.155471,10,159713.39476,15971.339476,2.54599,0.7,1,Neutral,49.0,
2024-10-13,0.0,0.0,10,60002.41658999999,6000.241658999999,0.95706,0.0,1,Neutral,50.0,
2024-10-14,1913.61958,382.72391600000003,5,61916.017750000006,12383.203550000002,0.95706,1.0,1,Neutral,48.0,
2024-10-15,1170.2260760000001,167.17515371428573,7,81173.36482999999,11596.194975714285,1.22058,0.5714285714285714,1,Greed,65.0,1.0
2024-10-16,219.480876,19.95280690909091,11,80229.16954,7293.560867272728,1.18732,0.2727272727272727,1,Greed,73.0,1.0
2024-10-17,36.11496,4.0127733333333335,9,140531.75086,15614.638984444444,2.09306,0.1111111111111111,2,Greed,71.0,1.0
2024-10-18,333.219141,55.536523499999994,6,120331.43022,20055.23837,1.78975,0.8333333333333334,1,Greed,73.0,1.0
2024-10-19,0.0,0.0,4,99996.86605000001,24999.216512500003,1.46394,0.0,1,Greed,72.0,1.0
2024-10-20,389.155797,4.05370621875,96,176447.874719,1837.9986949895836,52199.2564,0.11458333333333333,2,Greed,73.0,1.0
2024-10-21,2464.915564,14.248066843930635,173,324118.01302,1873.5145261271678,109550.91603,0.3930635838150289,2,Greed,72.0,1.0
2024-10-22,0.0,0.0,3,60000.3603,20000.1201,0.8949,0.0,1,Greed,70.0,1.0
2024-10-23,-46.489941,-2.5827745,18,210006.05804,11667.003224444445,55.42812,0.0,1,Greed,71.0,1.0
2024-10-25,13235.862071,441.19540236666666,30,427883.18564,14262.772854666666,8005.94794,0.7,2,Greed,72.0,1.0
2024-10-26,42471.99413,7078.6656883333335,6,88668.84961,14778.141601666668,32797.51,1.0,1,,,
2024-10-27,666.6623079999999,166.66557699999998,4,90664.40483,22666.1012075,1.33847,0.75,1,Greed,74.0,1.0
2024-10-28,167.28016200000002,12.867704769230771,13,121495.23672,9345.78744,6180.7549500000005,0.3076923076923077,2,Greed,72.0,1.0
2024-10-29,801.170876,15.11643162264151,53,613267.82764,11571.09108754717,6307.65733,0.05660377358490566,2,Greed,72.0,1.0
2024-10-30,9.150023,0.36600091999999995,25,11830.848523,473.23394092,16339.813900000001,0.28,1,Greed,77.0,1.0
2024-10-31,1214.043811,25.292579395833332,48,896173.3526710001,18670.278180645833,6851.27557,0.7083333333333334,3,Greed,77.0,1.0
2024-11-01,1040.475736,45.238075478260875,23,260981.03281,11347.00142652174,57939.29527,0.2608695652173913,2,Greed,75.0,1.0
2024-11-02,0.0,0.0,2,39999.9936,19999.9968,0.58072,0.0,1,Greed,72.0,1.0
2024-11-03,0.0,0.0,6,129055.6699,21509.278316666667,129416.61818,0.0,2,Greed,74.0,1.0
2024-11-04,2799.410474,77.76140205555555,36,451811.99086,12550.333079444445,129421.2777,0.6388888888888888,2,Greed,70.0,1.0
2024-11-05,678.4759280000001,67.8475928,10,200627.22152,20062.722152,2.96249,0.5,1,Greed,70.0,1.0
2024-11-06,2817.83723,187.85581533333334,15,123906.91204000001,8260.460802666666,11683.6737,0.4666666666666667,2,Greed,70.0,1.0
2024-11-07,4493.353136,39.764187044247784,113,111335.248923,985.2676895840708,132565.51276,0.5309734513274337,3,Greed,77.0,1.0
2024-11-08,-64.41354100000007,-1.6516292564102582,39,270700.42376000003,6941.036506666667,8026.56244,0.15384615384615385,2,Greed,75.0,1.0
2024-11-09,102.90894,1.196615581395349,86,193384.397206,2248.6557814651164,77022.8972,0.22093023255813954,2,Greed,75.0,1.0
2024-11-10,991.114334,5.728984589595376,173,413636.714386,2390.9636669710985,840527.93569,0.2947976878612717,3,Greed,78.0,1.0
